PLACAS,TAG
946AE2,CVTAF0001133
386ES4,CVTAF0000011
670AK5,CVTAF0001062
XV0850A,CVTAF0001599
852AK4,CVTAF0000929
935EU8,CVTAF0000495
387ES4,CVTAF0000053
XR5164B,CVTAF0000319
282AS4,CVTAF0001701
94AC3B,CVTAF0001446
XW20189,CVTAF0000293
788AP3,CVTAF0000437
73AJ2T,CVTAF0000506
656BZ1,CVTAF0001777
368AE3,CVTAF0000974
20AM4Y,CVTAF0001868
809EU7,CVTAF0000275
293AK2,CVTAF0001466
813AG5,CVTAF0001844
XW89576,CVTAF0000052
159CC8,CVTAF0000729
YC0132A,CVTAF0002014
XY3346A,CVTAF0000642
017EX3,CVTAF0000159
840DX6,CVTAF0000975
387ES1,CVTAF0001022
297EH9,CVTAF0000425
068AR2,CVTAF0000122
YA1006A,CVTAF0000810
LF45288,CVTAF0000219
YB9185A,CVTAF0000544
YB9183A,CVTAF0000349
YM6588A,CVTAF0001481
XW0412A,CVTAF0000415
912AL7,CVTAF0001433
61AT9Z,CVTAF0001222
94AG3A,CVTAF0000742
41AZ2M,CVTAF0001615
YA4776A,CVTAF0000986
787EX5,CVTAF0000702
13AR8E,CVTAF0001907
XK8628B,CVTAF0001151
5XDC27A,CVTAF0000405
1XEX442,CVTAF0001861
YA9214A,CVTAF0002077
XB9634A,CVTAF0000615
XJ4589B,CVTAF0000431
YJN8215,CVTAF0000732
760EX5,CVTAF0000621
XW28857,CVTAF0000709
321ES3,CVTAF0000491
294AR2,CVTAF0000346
680EE3,CVTAF0001486
RY8981B,CVTAF0001804
YD1454A,CVTAF0000485
YG6147A,CVTAF0000397
YA1400A,CVTAF0001343
XX0116A,CVTAF0000261
845EZ1,CVTAF0000547
XW29012,CVTAF0000587
RY8982B,CVTAF0000861
265XMR,CVTAF0001909
XR4962A,CVTAF0000234
008EV3,CVTAF0001697
501ED5,CVTAF0001863
086AF7,CVTAF0000907
83BA7M,CVTAF0001769
988DP7,CVTAF0001117
145EZ2,CVTAF0001088
857EZ1,CVTAF0000328
XV73616,CVTAF0000561
XX00445,CVTAF0000905
016DL5,CVTAF0001776
YA1526A,CVTAF0001979
XG1378B,CVTAF0000450
067AR2,CVTAF0001141
XP8479A,CVTAF0000558
XV73978,CVTAF0001270
YH9804A,CVTAF0000521
LE84071,CVTAF0000351
XX21445,CVTAF0001284
817GE9,CVTAF0001606
132EZ1,CVTAF0000398
XV8897A,CVTAF0001371
185AK7,CVTAF0000804
919DY1,CVTAF0001237
XW76192,CVTAF0000187
03AD7E,CVTAF0000407
815AK5,CVTAF0000895
103EC9,CVTAF0001675
XP7875A,CVTAF0000241
30AH9K,CVTAF0002151
27AD8H,CVTAF0001421
736AH1,CVTAF0001123
XW59308,CVTAF0000255
XP8758A,CVTAF0000575
WL15274,CVTAF0000606
YC0131A,CVTAF0001497
31BD4A,CVTAF0002167
36AA3M,CVTAF0001190
088DT3,CVTAF0001311
565AE1,CVTAF0000654
YH3364A,CVTAF0000233
RJ83038,CVTAF0000231
748EX5,CVTAF0000622
XV43354,CVTAF0000460
YKS2872,CVTAF0000289
XX15274,CVTAF0000325
XU8317A,CVTAF0000335
XM4279A,CVTAF0000262
550DL2,CVTAF0001957
XV73615,CVTAF0000196
RG11900,CVTAF0000511
017AF7,CVTAF0000300
LE82757,CVTAF0000264
XS4360A,CVTAF0000366
281EC8,CVTAF0001800
YC8538A,CVTAF0002027
861EZ1,CVTAF0000013
95BD4F,CVTAF0000982
594DM2,CVTAF0000125
YH6232A,CVTAF0000808
35AB9Z,CVTAF0001634
XJ4315B,CVTAF0000194
XX35731,CVTAF0000452
166EN5,CVTAF0001589
727EZ6,CVTAF0000676
68AD9P,CVTAF0001183
71AA8X,CVTAF0001725
UAN2563,CVTAF0000364
XX24149,CVTAF0000472
93AM4U,CVTAF0000998
XX05818,CVTAF0000736
5443ZP,CVTAF0000226
491EC6,CVTAF0001614
WZ7555A,CVTAF0000767
RM6190A,CVTAF0000453
VR43348,CVTAF0001928
XV44854,CVTAF0001921
XR8183B,CVTAF0000795
346DL2,CVTAF0002011
903DR3,CVTAF0000683
55AB2G,CVTAF0001368
XP7877A,CVTAF0000215
YB7181A,CVTAF0000912
73AD7E,CVTAF0001281
29AA1U,CVTAF0000941
YB9718A,CVTAF0000245
XW8228A,CVTAF0001476
XU63141,CVTAF0000768
XX24182,CVTAF0000393
89AD5X,CVTAF0001718
92AA7V,CVTAF0000617
RX14643,CVTAF0000785
XX22703,CVTAF0000439
48AC6P,CVTAF0000992
4XDB99A,CVTAF0001501
13AA8L,CVTAF0000698
YAY699B,CVTAF0000374
882AT6,CVTAF0001112
XW33088,CVTAF0000384
YG7375A,CVTAF0001318
XX05896,CVTAF0000103
XV50702,CVTAF0000914
58AA6M,CVTAF0000696
XT16724,CVTAF0001709
88AC6M,CVTAF0002110
HR4692F,CVTAF0000220
636YGE,CVTAF0000354
833AU1,CVTAF0000486
057AN7,CVTAF0000296
312DL7,CVTAF0000973
41AC1A,CVTAF0002140
20982,CVTAF0000100
XW23208,CVTAF0000102
YAK796B,CVTAF0000837
59AE5R,CVTAF0001959
XX24040,CVTAF0000305
06AG1Z,CVTAF0000847
16AB6F,CVTAF0000370
XX43869,CVTAF0000562
929AR2,CVTAF0000515
XX24155,CVTAF0000345
74AJ2T,CVTAF0000177
XX22955,CVTAF0002029
TC6711Z,CVTAF0000969
XV74744,CVTAF0000445
60BF2L,CVTAF0001716
YD1658A,CVTAF0000238
98AH9W,CVTAF0000828
XV84272,CVTAF0000769
19AD6N,CVTAF0001227
XX17606,CVTAF0000669
XV42196,CVTAF0000526
YD0196A,CVTAF0000304
943BR3,CVTAF0000688
35AA9V,CVTAF0001238
XW76384,CVTAF0000092
XG8888B,CVTAF0000843
YJ7945A,CVTAF0001582
SP64347,CVTAF0000682
XX14693,CVTAF0000613
YB9638A,CVTAF0000193
XK4676A,CVTAF0001316
292BZ3,CVTAF0000549
023EP3,CVTAF0000430
WN59579,CVTAF0000278
797EX5,CVTAF0000128
84AD9X,CVTAF0000970
YB9692A,CVTAF0000554
XX14691,CVTAF0000094
XV1950A,CVTAF0000809
XX22981,CVTAF0000466
XJ4316B,CVTAF0000573
XK1475A,CVTAF0000192
XU12429,CVTAF0001862
87AX8Y,CVTAF0001736
XN5794A,CVTAF0001766
567AK5,CVTAF0001209
XU73739,CVTAF0000530
XL0462A,CVTAF0000519
86AC5E,CVTAF0001591
YKX2767,CVTAF0000504
XX22957,CVTAF0000183
YC7843A,CVTAF0001342
XW23209,CVTAF0000161
172AR3,CVTAF0001333
16AM2Y,CVTAF0001278
82AD2J,CVTAF0001607
XW76345,CVTAF0000093
61AF7L,CVTAF0000626
12AA5V,CVTAF0000766
XP2929A,CVTAF0001879
XV42343,CVTAF0000104
127DT3,CVTAF0001273
XP7878A,CVTAF0001563
XP8197A,CVTAF0000323
XU54382,CVTAF0001092
XW19533,CVTAF0000376
14AB6F,CVTAF0000883
929AE3,CVTAF0000301
XW61145,CVTAF0001944
28AD5C,CVTAF0000928
YK0135A,CVTAF0001250
624DL2,CVTAF0001322
23AC8P,CVTAF0000881
60AF7L,CVTAF0001662
130EZ2,CVTAF0001408
LB50156,CVTAF0000704
59AD7E,CVTAF0000689
02AD6B,CVTAF0000493
41AD2D,CVTAF0000213
XT66611,CVTAF0000794
PP1250B,CVTAF0001348
YM6783A,CVTAF0001325
YBA646B,CVTAF0000935
XK8578B,CVTAF0000592
58AG6A,CVTAF0000824
YM6771A,CVTAF0001326
YC0116A,CVTAF0000915
53AY8J,CVTAF0001052
09AD7E,CVTAF0001774
XX56186,CVTAF0001143
VL9832B,CVTAF0000866
84AE9G,CVTAF0001319
46AG6A,CVTAF0000858
09AD8H,CVTAF0000909
89AF7F,CVTAF0001632
28AD1V,CVTAF0001410
50AL3A,CVTAF0001331
LF01156,CVTAF0001412
62AZ3M,CVTAF0002032
13AE4N,CVTAF0000672
XX41512,CVTAF0000614
42AG8H,CVTAF0001039
YB9693A,CVTAF0001355
49AL3A,CVTAF0001076
N11ASS,CVTAF0001734
68AA8X,CVTAF0001891
48AL3A,CVTAF0001081
XK6141B,CVTAF0001695
130FD7,CVTAF0000830
YK3968A,CVTAF0001163
YB9029A,CVTAF0000336
XXR745A,CVTAF0000737
95AF5E,CVTAF0001447
YA1811A,CVTAF0001727
69AG4M,CVTAF0000581
XU52468,CVTAF0000175
YH2833A,CVTAF0000588
YG6583A,CVTAF0001418
88AY1C,CVTAF0001445
64AG6A,CVTAF0001790
MWU1183,CVTAF0000509
XYC354A,CVTAF0000633
189EG2,CVTAF0001406
XZM570B,CVTAF0000565
YK3986A,CVTAF0000512
YH5056A,CVTAF0000616
XR4963A,CVTAF0001654
53AE9G,CVTAF0001835
YB9775A,CVTAF0001513
RW0915A,CVTAF0000902
2XDB23A,CVTAF0001966
421DX1,CVTAF0000773
NZT9567,CVTAF0001451
SN89382,CVTAF0000639
LF73625,CVTAF0000727
XX52160,CVTAF0000201
XG3435B,CVTAF0001403
54AY8J,CVTAF0001047
83BK3H,CVTAF0001585
YM6888A,CVTAF0001623
XP8198A,CVTAF0001886
55AJ1E,CVTAF0001430
XX56184,CVTAF0000538
XX45494,CVTAF0000578
131FD7,CVTAF0000946
YH3766A,CVTAF0001624
XP5945A,CVTAF0000962
XV40090,CVTAF0001439
55AL3A,CVTAF0001070
26AG1U,CVTAF0002025
XH4347B,CVTAF0002108
XX54029,CVTAF0000910
326EP4,CVTAF0000583
636AH4,CVTAF0000584
83AU2W,CVTAF0001684
77AF2V,CVTAF0001189
07AD7E,CVTAF0001958
XW69569,CVTAF0000802
YA7111A,CVTAF0001251
52AB4S,CVTAF0000891
68AF4D,CVTAF0000251
343AS9,CVTAF0000724
93AC8J,CVTAF0000925
